Title,DOI,Abstract,URLs,Authors,Item type,Journal,Full journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference,Conference location,Conference date,Date published,Date accessed,ISBN,ISBN (alt.),ISSN,ISSN (alt.),Keywords,Copyright,Affiliation,Language,Series
Scheduling garbage collection for energy efficiency on asymmetric multicore processors,10.22152/programming-journal.org/2024/8/10,"The growing concern for energy efficiency in the Information and Communication Technology (ICT) sector has prompted the exploration of resource management techniques. While hardware architectures, such as single-ISA asymmetric multicore processors (AMP), offer potential energy savings, there is still untapped potential for software optimizations. This paper aims to bridge this gap by investigating the scheduling of garbage collection (GC) activities on a heterogeneous architecture with both performance cores (“p-cores”) and energy cores (“e-cores”) to achieve energy savings.

Our study focuses on the concurrent ZGC collector in the context of Java Virtual Machines (JVM), as the energy aspect is not well studied in the context of latency-sensitive Java workloads. By comparing the energy efficiency, performance, latency, and memory utilization of executing GC on p-cores versus e-cores, we present compelling findings.

We demonstrate that scheduling GC work on e-cores overall leads to approximately 3% energy savings without performance and mean latency degradation while requiring no additional effort from developers. Overall energy reduction can increase to 5.3±0.0225% by tuning the number of e-cores (still not changing the program!).

Our findings highlight the practicality and benefits of scheduling GC on e-cores, showcasing the potential for energy savings in heterogeneous architectures running Java workloads while meeting critical latency requirements. Our research contributes to the ongoing efforts toward achieving a more sustainable and efficient ICT sector.",http://dx.doi.org/10.22152/programming-journal.org/2024/8/10,"Shimchenko M,Österlund E,Wrigstad T",Journal Article,Art Sci. Eng. Program.,The Art Science and Engineering of Programming,2024,8,3,,Aspect-Oriented Software Association (AOSA),,,,,,,2/15/24,,,,2473-7321,,,,"Uppsala University, Sweden; Oracle, Sweden",en,
SEEDS: a software engineer's energy-optimization decision support framework,10.1145/2568225.2568297,"Reducing the energy usage of software is becoming more important in many environments, in particular, battery-powered mobile devices, embedded systems and data centers. Recent empirical studies indicate that software engineers can support the goal of reducing energy usage by making design and implementation decisions in ways that take into consideration how such decisions impact the energy usage of an application. However, the large number of possible choices and the lack of feedback and information available to software engineers necessitates some form of automated decision-making support. This paper describes the first known automated support for systematically optimizing the energy usage of applications by making code-level changes. It is effective at reducing energy usage while freeing developers from needing to deal with the low-level, tedious tasks of applying changes and monitoring the resulting impacts to the energy usage of their application. We present a general framework, SEEDS, as well as an instantiation of the framework that automatically optimizes Java applications by selecting the most energy-efficient library implementations for Java's Collections API. Our empirical evaluation of the framework and instantiation show that it is possible to improve the energy usage of an application in a fully automated manner for a reasonable cost.",http://dx.doi.org/10.1145/2568225.2568297,"Manotas I,Pollock L,Clause J",Conference Paper,,,2014,,,,ACM,"New York, NY, USA",,Proceedings of the 36th International Conference on Software Engineering,ICSE '14: 36th International Conference on Software Engineering,Hyderabad India,2014/5/31-2014/6/7,5/31/14,,9.78145E+12,,,,,,"University of Delaware, USA",,
Software bloat and wasted joules: Is modularity a hurdle to green software?,10.1109/mc.2011.293,,http://dx.doi.org/10.1109/mc.2011.293,"Bhattacharya S,Gopinath K,Rajamani K,Gupta M",Journal Article,Computer (Long Beach Calif.),Computer,2011,44,9,97-101,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,2011-09,,,,0018-9162,1558-0814,,,,,
Software energy measurement at different levels of granularity,10.1109/iccisci.2019.8716456,"Power usage is mainly attributed to hardware. However, hardware resources are controlled by software instructions, which determine how it should behave. This paper presents an overview of the different methods for measuring the power and energy consumption of software programs. We propose a taxonomy in which we classify software measurement methods into different categories from different perspectives. We take into consideration software granularity levels as well as hardware facets. Software granularity concerns the structural facets of software. Hardware granularity concerns the levels of hardware resources. Energy measurements of lower software/hardware levels can be more challenging. We study and evaluate software energy measurement methods for battery-powered devices (e.g., laptops, smartphones, and embedded systems). Our results suggest that some software measurement tools can be capable of generating power readings of lower levels of hardware while some other tools can support estimating power for lower levels of software.",http://dx.doi.org/10.1109/iccisci.2019.8716456,Ghaleb TA,Conference Paper,,,2019,,,,IEEE,,,2019 International Conference on Computer and Information Sciences (ICCIS),2019 International Conference on Computer and Information Sciences (ICCIS),"Sakaka, Saudi Arabia",2019/4/3-2019/4/4,2019-04,,9.78154E+12,,,,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
Software sustainability: Research and practice from a software architecture viewpoint,10.1016/j.jss.2017.12.026,"Modern societies are highly dependent on complex, large-scale, software-intensive systems that increasingly operate within an environment of continuous availability, which is challenging to maintain and evolve in response to the inevitable changes in stakeholder goals and requirements of the system. Software architectures are the foundation of any software system and provide a mechanism for reasoning about core software quality requirements. Their sustainability ‚Äì the capacity to endure in changing environments ‚Äì is a critical concern for software architecture research and practice.Accidental software complexity accrues both naturally and gradually over time as part of the overall software design and development process. From a software architecture perspective, this allows several issues to overlap including, but not limited to: the accumulation of technical debt design decisions of individual components and systems leading to coupling and cohesion issues; the application of tacit architectural knowledge resulting in unsystematic and undocumented design decisions; architectural knowledge vaporisation of design choices and the continued ability of the organization to understand the architecture of its systems; sustainability debt and the broader cumulative effects of flawed architectural design choices over time resulting in code smells, architectural brittleness, erosion, and drift, which ultimately lead to decay and software death. Sustainable software architectures are required to evolve over the entire lifecycle of the system from initial design inception to end-of-life to achieve efficient and effective maintenance and evolutionary change.This article outlines general principles and perspectives on sustainability with regards to software systems to provide a context and terminology for framing the discourse on software architectures and sustainability. Focusing on the capacity of software architectures and architectural design choices to endure over time, it highlights some of the recent research trends and approaches with regards to explicitly addressing sustainability in the context of software architectures.The principal aim of this article is to provide a foundation and roadmap of emerging research themes in the area of sustainable software architectures highlighting recent trends, and open issues and research challenges.",http://dx.doi.org/10.1016/j.jss.2017.12.026,"Venters CC,Capilla R,Betz S,Penzenstadler B,Crick T,Crouch S,Nakagawa EY,Becker C,Carrillo C",Journal Article,J. Syst. Softw.,The Journal of Systems and Software,2018,138,,174-188,Elsevier BV,,,,,,,2018-04,,,,0164-1212,1873-1228,,,,en,
SPELLing out energy leaks: Aiding developers locate energy inefficient code,10.1016/j.jss.2019.110463,,http://dx.doi.org/10.1016/j.jss.2019.110463,"Pereira R,Carcao T,Couto M,Cunha J,Fernandes JP,Saraiva J",Journal Article,J. Syst. Softw.,The Journal of Systems and Software,2020,161,110463,110463,Elsevier BV,,,,,,,2020-03,,,,0164-1212,1873-1228,,,,en,
Tales from the code #1: The effective impact of code refactorings on software energy consumption,10.5220/0010517900002992,,http://dx.doi.org/10.5220/0010517900002992,"Ournani Z,Rouvoy R,Rust P,Penhoat J",Conference Paper,,,2021,,,,SCITEPRESS - Science and Technology Publications,,,Proceedings of the 16th International Conference on Software Technologies,16th International Conference on Software Technologies,"Online Streaming, --- Select a Country ---",2021/7/6-2021/7/8,2021,,,,,,,,"Orange Labs, Rennes, France, --- Select a Country ---; INRIA Lille Nord-Europe, Lille, France, --- Select a Country ---; University of Lille, Lille, France, --- Select a Country ---; INRIA Lille Nord-Europe, Lille, France, --- Select a Country ---; University of Lille, Lille, France, --- Select a Country ---; Orange Labs, Rennes, France, --- Select a Country ---",,
The GREENSOFT Model: A reference model for green and sustainable software and its engineering,10.1016/j.suscom.2011.06.004,"The resource and power consumption of ICT is still increasing, but also the benefits of ICT, e.g. in finding more efficient solutions for environmental problems. To date, it is not clear, whether the resource and energy savings through ICT overbalance the resource and energy consumption by ICT, or not. Up to now, manifold efforts of Green IT address the environmental aspects of sustainability considering computer hardware. However, there is still a lack of models, descriptions or realizations in the area of computer software and software process models. In our contribution, we first propose definitions of the terms ‚ÄúGreen and Sustainable Software‚Äù and ‚ÄúGreen and Sustainable Software Engineering‚Äù, then we outline a conceptual reference model, the GREENSOFT Model. This model includes a cradle-to-grave product life cycle model for software products, sustainability metrics and criteria for software, software engineering extensions for sustainably sound software design and development, as well as appropriate guidance.",http://dx.doi.org/10.1016/j.suscom.2011.06.004,"Naumann S,Dick M,Kern E,Johann T",Journal Article,Sustain. Comput. Inform. Syst.,Sustainable Computing Informatics and Systems,2011,1,4,294-304,Elsevier BV,,,,,,,2011-12,,,,2210-5379,2210-5387,,,,en,
The influence of the Java collection framework on overall energy consumption,10.1145/2896967.2896968,"This paper presents a detailed study of the energy consumption of the different Java Collection Framework (JFC) implementations. For each method of an implementation in this framework, we present its energy consumption when handling different amounts of data. Knowing the greenest methods for each implementation, we present an energy optimization approach for Java programs: based on calls to JFC methods in the source code of a program, we select the greenest implementation. Finally, we present preliminary results of optimizing a set of Java programs where we obtained 6.2% energy savings.",http://dx.doi.org/10.1145/2896967.2896968,"Pereira R,Couto M,Saraiva J,Cunha J,Fernandes JP",Conference Paper,,,2016,,,,ACM,"New York, NY, USA",,Proceedings of the 5th International Workshop on Green and Sustainable Software,ICSE '16: 38th International Conference on Software Engineering,Austin Texas,2016/5/14-2016/5/22,5/14/16,,9.78145E+12,,,,,http://www.acm.org/publications/policies/copyright_policy#Background,"HASLab/INESC TEC & Minho University, Portugal; Universidade NOVA de Lisboa, Portugal; Universidade da Beira Interior, Portugal",,
Tools supporting green computing in Erlang,10.1145/3331542.3342570,"Energy efficiency is one of the key aspects of modern software. Therefore, we present a tool for measuring the energy consumption of Erlang programs. Using this tool, we measured the energy consumption of different basic language elements, such as data structures, higher-order functions and parallel language constructs. Based on the results of our measurements, we present refactorings that may help to decrease the energy consumption of Erlang software. The refactorings are part of the well-known RefactorErl static analyser and transformer framework for Erlang.",http://dx.doi.org/10.1145/3331542.3342570,"Nagy G, Mészáros A, Bozó I, and Tóth M",Conference Paper,,,2019,,,,ACM,"New York, NY, USA",,Proceedings of the 18th ACM SIGPLAN International Workshop on Erlang,ICFP '19: ACM SIGPLAN International Conference on Functional Programming,Berlin Germany,2019/8/18-2019/8/18,8/18/19,,9.78145E+12,,,,,http://www.acm.org/publications/policies/copyright_policy#Background,"E√∂tv√∂s Lor√°nd University, Hungary",,
Towards energy auto tuning,,"Energy efficiency is gaining more and more importance, since well-known ecological reasons lead to rising energy costs. In consequence, energy consumption is now also an important economical criterion. Energy consumption of single hardware resources has been thoroughly optimized for years. Now software becomes the major target of energy optimization. In this paper we introduce an approach called energy auto tuning(EAT), which optimizes energy efficiency of software systems running on multiple resources. The optimization of more than one resource leads to higher energy savings, because communication costs can be taken into account. E.g., if two components run on the same resource, the communication costs are likely to be less, compared to be running on different resources. The best results can be achieved in heterogeneous environments as different resource characteristics enlarge the synergy effects gainable by our optimization technique. EAT software systems derive all possible distributions of themselves on a given set of hardware resources and reconfigure themselves to achieve the lowest energy consumption possible at any time. In this paper we describe our software architecture to implement EAT.",https://tud.qucosa.de/en/landing-page/https://tud.qucosa.de/api/qucosa%3A26982/mets/,"Götz S, Wilke C, Schmidt M, Cech S and Aßmann U",Website,,,,,,,,,,,,,,,3/23/26,,,,,,,,,
Towards power reduction through improved software design,10.1109/energytech.2012.6304705,,http://dx.doi.org/10.1109/energytech.2012.6304705,"Sahin C,Cayci F,Clause J,Kiamilev F,Pollock L,Winbladh K",Conference Paper,,,2012,,,,IEEE,,,2012 IEEE Energytech,2012 IEEE Energytech,"Cleveland, OH, USA",2012/5/29-2012/5/31,2012-05,,9.78147E+12,9.78147E+12,,,,,,,
Transforming set data types to power optimal data structures,10.1109/43.503932,"In this paper, we present a novel approach to model the search space for the custom implementation of set data types, a data type that is commonly found in important application domains such as network component realizations and database applications. The main objective is to arrive at power efficient realizations of these data types in custom data structures, but the model can also be used with nonpower cost functions. Based on the model, we propose an efficient optimization method for finding the implementation with minimum power consumption without performing an exhaustive scan of the search space. The range of power costs for different solutions can easily span four orders of magnitude, so a near optimal solution is crucial. This paper also strongly contributes to our overall goal of a higher level of specification and shorter design cycles for table-based memory organizations for applications where these data types are frequently used. The proposed model and methodology are suited for both hardware and software realizations.",http://dx.doi.org/10.1109/43.503932,"Wuytack S,Catthoor FV,De Man HJ",Journal Article,IEEE Trans. Comput.-aided Des. Integr. Circuits Syst.,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,1996,15,6,619-629,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,1996-06,,,,0278-0070,1937-4151,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
Understanding the performance-energy tradeoffs of object-relational mapping frameworks,10.1109/saner60148.2024.00069,"Object-Relational Mapping (ORM) frameworks are the cornerstone of online services. To reply to incoming requests, these services often rely on these frameworks as a convenient data access layer. However, such frameworks might also be the source of performance inefficiency when configured and used inappropriately. This paper, therefore, compares different configurations of state-of-the-art Java-based ORM frameworks to unveil their performance efficiency, traditionally evaluated through metrics such as execution time and memory usage. However, rising environmental concerns have brought energy consumption to the forefront of the conversation. Beyond performance-centric measurements, we shed light on the energy consumption of these building blocks and explore the trade-offs that conceal the expected quality of service and environmental concerns. Our empirical results, obtained with an ORM-based version of the reference Transaction Processing Performance Council benchmark C (TPC-C) benchmark, highlight that the adoption of an ORM should be carefully configured by developers to leverage the resources offered by underlying databases.",http://dx.doi.org/10.1109/saner60148.2024.00069,"Bonvoisin A,Quinton C,Rouvoy R",Conference Paper,,,2024,,,,IEEE,,,"2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","Rovaniemi, Finland",2024/3/12-2024/3/15,3/12/24,,,,,,,,"Univ. Lille, CNRS, Inria, UMR 9189 CRIStAL,Lille,France,F-59000",,
Unit testing of energy consumption of software libraries,10.1145/2554850.2554932,"The development of energy-efficient software has become a key requirement for a large number of devices, from smartphones to data centers. However, measuring accurately this consumption is a major challenge that state-of-the-art approaches have tried to tackle with a limited success. While monitoring applications' consumption offers a clear insight on where the energy is being spent, it does not help in understanding how the energy is consumed. In this paper, we therefore introduce JalenUnit, a software framework that infers the energy consumption model of software libraries from execution traces. This model can then be used to diagnose application code for detecting energy bugs, understanding energy distribution, establishing energy profiles and classifications, and comparing software libraries against their energy consumption.",http://dx.doi.org/10.1145/2554850.2554932,"Noureddine A,Rouvoy R,Seinturier L",Conference Paper,,,2014,,,,ACM,"New York, NY, USA",,Proceedings of the 29th Annual ACM Symposium on Applied Computing,SAC 2014: Symposium on Applied Computing,Gyeongju Republic of Korea,2014/3/24-2014/3/28,3/24/14,,9.78145E+12,,,,,,"Inria Lille -- Nord Europe and University Lille - LIFL CNRS UMR, France; Inria Lille -- Nord Europe and University Lille - LIFL CNRS UMR, France and Institut Universitaire de France",,
Using bad smell-driven code refactorings in mobile applications to reduce battery usage,,"Mobile devices are the most popular kind of computational device in the world. These devices have more limited resources than personal computers, and more importantly, battery consumption is always an issue since mobile devices rely on their battery as energy supply. On the other hand, to date, many applications are developed using the object-oriented (OO) paradigm, which has some inherent features, such as object creation, that inherently consume energy in the context of mobile development. These features at the same time enable for maintainability, flexibility, among other software quality-related advantages. Moreover, known code refactorings driven by bad smells can be applied to mobile applications to produce good OO designs, at the expense of potentially consuming more energy. Then, this paper presents an analysis to evaluate the preliminary trade-off between OO design purity and battery consumption.",https://sedici.unlp.edu.ar/handle/10915/52204;http://sedici.unlp.edu.ar/handle/10915/52204;http://44jaiio.sadio.org.ar/sites/default/files/asse56-68.pdf;http://sedici.unlp.edu.ar/bitstream/handle/10915/52204/Documento_completo.pdf?sequence=1,"Rodriguez A, Longo M and Zunino A",Conference Paper,,,2015,,,,,,,"Simposio Argentino de Ingenier√≠a de Software (ASSE 2015) - JAIIO 44 (Rosario, 2015)",,,,2015,3/23/26,,,2451-7593,,"Bater√≠as; Cellular architecture (e.g., mobile); Android; Ciencias Inform√°ticas",,,en,
